id_produto,produto,barras,valor_venda,valor_compra,custo,estoque,estoque_minimo,ncm,cest,cfop,unidade,margem,marca,grupo,subgrupo,observacao,foto
"45","LIMPEZA COMPLETA DESOXIDAÇÃO LIMPEZA E LUBRIFICAÇÃO DOS COOLER TROCA DE PASTA TÉRMICA DO PROCESSADOR PC SIMPLES COM FONTE","","540","0","0","100","0","","","","","0","0","0","0","",""
"46","LIMPEZA COMPLETA  DESOXIDAÇÃO LIMPEZA E LUBRIFICAÇÃO DOS COOLER TROCA DE PASTA TÉRMICA DO PROCESSADOR DE NOTEBOOK GAMER DEPENDE","","1620","0","0","100","0","","","","","0","0","0","0","DEPENDE DO TIPO DO MODELO A PARTIR DE 180","00"
"47","LIMPEZA COMPLETA DESOXIDAÇÃO LIMPEZA E LUBRIFICAÇÃO DOS COOLER TROCA DE PASTA TÉRMICA DO PROCESSADOR PC SIMPLES COM FONTE","","1800","0","0","100","0","","","","UN","0","0","0","0","",""
"48","LIMPEZA COMPLETA DESOXIDAÇÃO LIMPEZA E LUBRIFICAÇÃO DOS COOLER TROCA DE PASTA TÉRMICA DO PROCESSADOR PC GAMER","","2070","0","0","100","0","","","","","0","0","0","0","A PARTIR DE 230","00"
"49","SERVIÇO DE LIMPEZA COMPLETA COM TROCA DE PASTA TERMINCA  DE PLACA DE VÍDEO MÉDIA (2 COOLER)","","1620","0","0","100","0","","","","","0","0","0","0","",""
"50","SERVIÇO DE LIMPEZA COMPLETA COM TROCA DE PASTA TERMINCA  DE PLACA DE VÍDEO GRANDE (3 COOLER)  VERIFICAR","","2880","0","0","100","0","","","","","0","0","0","0","DE 320","00 A 480"
"51","SERVIÇO DE FORMATAÇÃO E INSTALAÇÃO DO IMAC E MACBOOK","","1620","0","0","100","0","","","","","0","0","0","0","",""
"52","SERVIÇO DE FORMATAÇÃO INSTALAÇÃO E RECONFIGURAÇÃO COM WINDOWS DUAL BOOT IMAC E MACBOOK","","2250","0","0","100","0","","","","","0","0","0","0","",""
"53","SERVIÇO DE LIMPEZA COMPLETA AVANÇADA QUANDO TEM LIQUÍDO A PARTIR DE","","3420","0","0","50","0","","","","","0","0","0","0","DE 380","00 A 420"
"54","SERVIÇO DE LIMPEZA COMPLETA INTERNA COM TROCA DE PASTA TERMINCA MACBOOK","","2880","0","0","100","0","","","","","0","0","0","0","",""
"55","SERVIÇO DE TROCA DE TELA MACBOOK PRO TEM DE VERIFICAR MODELO A PARTIR DE","","5400","0","0","50","0","","","","","0","0","0","0","",""
"56","SERVIÇO DE REPARO INTERNO TEM QUE FAZER ANÁLISE MACBOOK PRO A PARTIR DE","","5400","0","0","50","0","","","","","0","0","0","0","A PARTIR DE 600","00 A 1.500"
"57","COPIA A4 COLORIDO IMAGEM PEQUENA 4X","","9","0","0","50","0","","","5933","UN","0","0","0","0","",""
"58","COPIA A4 COLORIDO IMAGENS E ESCRITURAS PEQUENAS","","9","0","0","50","0","","","5933","UN","0","0","0","0","",""
"59","XEROX 1 A 9","","3","0","0","100","0","","","","","0","0","0","0","",""
"60","XEROX FRENTE E VERSO 1 A 9","","1.5","0","0","100","0","","","5933","UN","0","0","0","0","",""
"61","XEROX FRENTE E VERSO 10 A 50","","0.5","0","0","100","0","","","5933","UN","0","0","0","0","",""
"62","XEROX 10 A 50","","0.8","0","0","100","0","","","5933","UN","","","","","",""
"63","XEROX 51 A 100","","0.7","0","0","100","0","","","5933","UN","","","","","",""
"64","XEROX 101 A 200","","0.6","0","0","100","0","","","5933","UN","","","","","",""
"65","XEROX 201 A 500","","0.5","0","0","100","0","","","5933","UN","","","","","",""
"66","XEROX FOTO","","3","0","0","100","0","","","5933","UN","","","","","",""
"67","XEROX A4 IMAGEM GRANDE","","2.5","0","0","100","0","","","5933","UN","","","","","",""
"68","XEROX A4 IMAGEM","","2","0","0","100","0","","","5933","UN","","","","","",""
"69","XEROX A4 IMAGEM PEQUENA","","1.5","0","0","100","0","","","5933","UN","","","","","",""
"70","XEROX FRENTE E VERSO 1 A 9","","1.5","0","0","100","0","","","5933","UN","","","","","",""
"71","XEROX FRENTE E VERSO 10 A 50","","0.5","0","0","100","0","","","5933","UN","","","","","",""
"72","XEROX FRENTE E VERSO 51 A 100","","0.4","0","0","100","0","","","5933","UN","","","","","",""
"73","XEROX FRENTE E VERSO 101 A 200","","0.3","0","0","100","0","","","5933","UN","","","","","",""
"74","XEROX FRENTE E VERSO 201 A 500","","0.25","0","0","100","0","","","5933","UN","","","","","",""
"75","XEROX FRENTE E VERSO 501 A 999","","0.2","0","0","100","0","","","5933","UN","","","","","",""
"76","COPIA A4 COLORIDO 1 A 50","","2","0","0","100","0","","","5933","UN","","","","","",""
"77","COPIA A4 COLORIDO 51 A 100","","1.5","0","0","100","0","","","5933","UN","","","","","",""
"78","COPIA A4 COLORIDO 101 A 200","","1.3","0","0","100","0","","","5933","UN","","","","","",""
"79","COPIA A4 COLORIDO IMAGEM GRANDE","","4","0","0","100","0","","","5933","UN","","","","","",""
"80","COPIA A4 COLORIDO IMAGEM","","3.5","0","0","100","0","","","5933","UN","","","","","",""
"81","COPIA A4 COLORIDO IMAGEM PEQUENA 4X","","3","0","0","100","0","","","5933","UN","","","","","",""
"82","COPIA A4 COLORIDO IMAGENS E ESCRITURAS PEQUENAS","","3","0","0","100","0","","","5933","UN","","","","","",""
"83","ANALISE E DIAGNOSTICO PC SIMPLES DEPENDE DO PROBLEMA","","100","0","0","50","0","","","5933","UN","","","","","",""
"84","ANALISE E DIAGNOSTICO PC GAMER DEPENDE DO PROBLEMA","","160","0","0","50","0","","","5933","UN","","","","","",""
"85","REMOCAO DE VIRUS A PARTIR DE","","50","0","0","50","0","","","5933","UN","","","","","",""
"86","INSTALACAO DE PROGRAMAS A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"87","LUBRIFICACAO E ALIVIO DE DOBRADICAS A PARTIR DE","","120","0","0","50","0","","","5933","UN","","","","","",""
"88","SOLDA SIMPLES A PARTIR DE","","15","0","0","50","0","","","5933","UN","","","","","",""
"89","SOLDA COMPLEXA A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"90","REMOCAO DE CHIP EM CURTO A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"91","SOMENTE TROCA DE FONTE PC SIMPLES A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"92","TROCA DE FONTE PC GAMER A PARTIR DE","","160","0","0","50","0","","","5933","UN","","","","","",""
"93","ORGANIZACAO DE CABOS MANAGEMENT P SIMPLES","","120","0","0","50","0","","","5933","UN","","","","","",""
"94","CABO MANAGEMENT PC GAMER A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"95","REPARO DE CARCACA SIMPLES A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"96","ANALISE E DIAGNOSTICO PC SIMPLES DEPENDE DO PROBLEMA","","100","0","0","50","0","","","5933","UN","","","","","",""
"97","ANALISE E DIAGNOSTICO PC GAMER DEPENDE DO PROBLEMA","","160","0","0","50","0","","","5933","UN","","","","","",""
"98","REMOCAO DE VIRUS A PARTIR DE","","50","0","0","50","0","","","5933","UN","","","","","",""
"99","INSTALACAO DE PROGRAMAS A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"100","LUBRIFICACAO E ALIVIO DE DOBRADICAS A PARTIR DE","","120","0","0","50","0","","","5933","UN","","","","","",""
"101","SOLDA SIMPLES A PARTIR DE","","15","0","0","50","0","","","5933","UN","","","","","",""
"102","SOLDA COMPLEXA A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"103","REMOCAO DE CHIP EM CURTO A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"104","SOMENTE TROCA DE FONTE PC SIMPLES A PARTIR DE","","80","0","0","50","0","","","5933","UN","","","","","",""
"105","TROCA DE FONTE PC GAMER A PARTIR DE","","160","0","0","50","0","","","5933","UN","","","","","",""
"106","ORGANIZACAO DE CABOS MANAGEMENT P SIMPLES","","120","0","0","50","0","","","5933","UN","","","","","",""
"107","CABO MANAGEMENT PC GAMER A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"108","REPARO DE CARCACA SIMPLES A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"109","REPARO DE CARCACA COMPLEXO A PARTIR DE","","280","0","0","50","0","","","5933","UN","","","","","",""
"110","LIMPEZA PC SIMPLES","","180","0","0","50","0","","","5933","UN","","","","","",""
"111","LIMPEZA PC SIMPLES COM LIMPEZA INTERNA DA FONTE","","200","0","0","50","0","","","5933","UN","","","","","",""
"112","LIMPEZA NOTEBOOK SIMPLES","","180","0","0","50","0","","","5933","UN","","","","","",""
"113","LIMPEZA ALL IN ONE","","195","0","0","50","0","","","5933","UN","","","","","",""
"114","LIMPEZA NOTEBOOK GAMER TEM QUE VERIFICAR NA LOJA A PARTIR DE","","180","0","0","50","0","","","5933","UN","","","","","",""
"115","LIMPEZA PC GAMER TEM QUE VERIFICAR NA LOJA A PARTIR DE","","230","0","0","50","0","","","5933","UN","","","","","",""
"116","LIMPEZA PC GAMER","","230","0","0","50","0","","","5933","UN","","","","","",""
"117","LIMPEZA GAMER COMPLETA","","380","0","0","50","0","","","5933","UN","","","","","",""
"118","LAVAGEM QUIMICA DE PLACA","","200","0","0","50","0","","","5933","UN","","","","","",""
"119","LIMPEZA DE PLACA DE VIDEO PEQUENA (1 COOLER)","","120","0","0","50","0","","","5933","UN","","","","","",""
"120","LIMPEZA DE PLACA DE VIDEO MEDIA (2 COOLERS)","","180","0","0","50","0","","","5933","UN","","","","","",""
"121","LIMPEZA DE PLACA DE VIDEO GRANDE (3 COOLERS) TEM QUE VERIFICAR","","320","0","0","50","0","","","5933","UN","","","","","",""
"122","FORMACAO IMAC / MACBOOK","","180","0","0","50","0","","","5933","UN","","","","","",""
"123","FORMACAO COM WINDOWS / DUAL BOOT","","250","0","0","50","0","","","5933","UN","","","","","",""
"124","LIMPEZA INTERNA MACBOOK","","320","0","0","50","0","","","5933","UN","","","","","",""
"125","LIMPEZA AVANCADA QUANDO TEM LIQUIDO A PARTIR DE","","380","0","0","50","0","","","5933","UN","","","","","",""
"126","TROCA DE TELA MACBOOK PRO TEM DE VERIFICAR MODELO A PARTIR DE","","600","0","0","50","0","","","5933","UN","","","","","",""
"127","REPARO INTERNO TEM QUE FAZER ANALISE MACBOOK PRO","","600","0","0","50","0","","","5933","UN","","","","","",""
"128","SSD 120GB","","250","0","0","20","0","","","5102","UN","","","","","",""
"129","SSD 240GB","","360","0","0","20","0","","","5102","UN","","","","","",""
"130","SSD 256GB","","380","0","0","20","0","","","5102","UN","","","","","",""
"131","SSD 480GB","","520","0","0","20","0","","","5102","UN","","","","","",""
"132","SSD 512GB","","480","0","0","20","0","","","5102","UN","","","","","",""
"133","SSD 1TB","","850","0","0","20","0","","","5102","UN","","","","","",""
"134","M.2 NVME 512GB","","650","0","0","20","0","","","5102","UN","","","","","",""
"135","M.2 NVME 250GB","","350","0","0","20","0","","","5102","UN","","","","","",""
"136","M.2 NVME 128GB","","230","0","0","20","0","","","5102","UN","","","","","",""
"137","HD 500GB","","280","0","0","20","0","","","5102","UN","","","","","",""
"138","HD 1TB","","390","0","0","20","0","","","5102","UN","","","","","",""
"139","MEMORIA DDR3 4GB PC","","170","0","0","20","0","","","5102","UN","","","","","",""
"140","MEMORIA DDR3 8GB PC","","268","0","0","20","0","","","5102","UN","","","","","",""
"141","MEMORIA DDR4 4GB PC","","200","0","0","20","0","","","5102","UN","","","","","",""
"142","MEMORIA DDR4 8GB PC","","455","0","0","20","0","","","5102","UN","","","","","",""
"143","MEMORIA DDR3 4GB NOTEBOOK","","170","0","0","20","0","","","5102","UN","","","","","",""
"144","MEMORIA DDR3 8GB NOTEBOOK","","190","0","0","20","0","","","5102","UN","","","","","",""
"145","MEMORIA DDR4 4GB NOTEBOOK","","255","0","0","20","0","","","5102","UN","","","","","",""
"146","MEMORIA DDR4 8GB NOTEBOOK","","460","0","0","20","0","","","5102","UN","","","","","",""
"147","teste 2","","0.01","0","0","50","","","","","","0","0","0","0","",""
